obsID;age;female;pers;children;years of education;employment status;industry sector;gross salary year;gross salary month;subjective health;subjective life satisfaction/happiness
59;56;FALSE;5;1;18;1;1;0;2717.86;3;8
60;57;FALSE;5;0;18;1;1;0;2623.02;3;9
61;58;FALSE;5;0;18;1;1;0;2053.22;3;8
62;59;FALSE;3;0;18;1;1;0;3196.81;2;9
63;60;FALSE;3;0;18;1;1;0;3177.98;2;8
1077;58;FALSE;2;0;9;1;1;22605.98;1638.39;2;[10] completely satisfied
1078;59;FALSE;2;0;9;1;1;19289.63;1682.69;2;[10] completely satisfied
1079;60;FALSE;2;0;9;1;1;20103.64;1567.6;2;9
1080;61;FALSE;2;0;9;1;1;22406.8;1994.52;2;[10] completely satisfied
1081;62;FALSE;2;0;9;1;1;23591.38;2233.57;2;9
3477;21;FALSE;3;0;10;3;1;9801.51;1163.4;5;0
5174;49;FALSE;2;0;10.5;1;1;42365.19;3466.96;4;9
5243;43;FALSE;5;3;11;1;1;0;3341.39;2;9
5244;44;FALSE;5;3;11;1;1;0;3437.79;2;5
5763;58;FALSE;2;0;12;1;1;14624.56;1469.97;3;7
5764;59;FALSE;2;0;12;1;1;0;1418.42;3;6
5765;60;FALSE;2;0;12;1;1;22496.92;1433.89;3;6
5766;61;FALSE;2;0;12;1;1;16620.52;1807.19;2;6
5767;62;FALSE;2;0;12;1;1;19864.46;2272.58;3;7
5866;49;FALSE;3;1;11.5;1;1;0;3246.49;2;8
5867;50;FALSE;3;1;11.5;1;1;0;2739.92;2;8
5868;51;FALSE;3;1;11.5;1;1;0;3133.9;2;8
5869;52;FALSE;3;1;11.5;1;1;0;4026.03;3;8
6343;59;FALSE;5;0;12;1;1;0;2820.92;2;7
6344;60;FALSE;5;0;12;1;1;0;2038.77;3;6
6345;61;FALSE;4;0;12;1;1;0;3902.82;3;7
6346;62;FALSE;4;0;12;1;1;0;3873.66;2;8
6347;63;FALSE;4;0;12;1;1;0;1988.98;3;6
6351;26;FALSE;4;0;16;1;1;0;3084.07;1;8
6352;27;FALSE;4;0;16;1;1;35934.64;4006.81;3;6
6922;51;FALSE;1;0;10.5;1;1;22053.56;2899.59;3;6
7108;19;FALSE;3;0;9;3;1;2361.76;520.26;2;8
7109;20;FALSE;3;0;9;3;1;4443.66;823.13;2;8
7110;21;FALSE;3;0;9;3;1;5116.15;548.97;2;7
7112;23;FALSE;3;0;10.5;1;1;9975.85;1312.73;2;8
7449;43;FALSE;4;2;11.5;1;1;9731.82;1144.16;3;5
7451;45;FALSE;4;1;11.5;1;1;12875.49;1232.65;3;5
7452;46;FALSE;4;1;11.5;1;1;25750.14;1558.04;4;7
7640;54;TRUE;2;0;13;2;1;25559.03;2080.42;2;6
7641;55;TRUE;2;0;13;2;1;24719.47;1585.87;2;7
7642;56;TRUE;2;0;13;2;1;23601.3;1724.69;3;6
7643;57;TRUE;2;0;13;2;1;23599.38;2083.71;3;7
7644;58;TRUE;3;0;13;2;1;25351.42;2453.36;3;6
7762;20;FALSE;2;0;11.5;1;1;8492.06;2211.22;2;9
8102;49;FALSE;3;0;11.5;1;1;24896.7;2240.55;2;8
8103;50;FALSE;5;1;11.5;1;1;24076.33;2459.27;3;8
8104;51;FALSE;5;1;11.5;1;1;26790.72;2226.95;2;8
8793;43;TRUE;1;0;12;1;1;22234.55;1983.95;4;7
8794;44;TRUE;1;0;12;1;1;24310.03;2255.45;3;4
8795;45;TRUE;1;0;12;1;1;19651.65;2017.05;3;6
8796;46;TRUE;1;0;12;1;1;22192.99;2000.91;3;5
8797;47;TRUE;1;0;12;1;1;20095.57;1516.72;3;6
10392;54;FALSE;3;0;11.5;1;1;4957.06;1388.99;2;9
10394;58;FALSE;2;0;11.5;1;1;20461.57;1841.84;2;9
10502;48;FALSE;8;2;11;1;1;0;2458.63;2;9
10503;49;FALSE;8;2;11;1;1;0;1617.56;2;[10] completely satisfied
