age;tv;educ;children;religious;married
24;1;12;0;FALSE;0
32;1;13;3;FALSE;1
30;0;5;1;FALSE;1
42;1;4;2;FALSE;1
43;1;11;2;FALSE;1
36;0;7;1;FALSE;1
37;1;16;4;TRUE;1
18;1;10;0;TRUE;0
34;0;5;1;FALSE;1
49;0;4;0;FALSE;1
42;1;15;3;FALSE;1
29;0;7;3;FALSE;
45;0;0;2;FALSE;
48;0;4;8;FALSE;
35;1;12;3;FALSE;1
26;0;7;0;TRUE;0
38;0;7;4;FALSE;0
47;0;5;2;FALSE;0
32;1;16;0;FALSE;1
27;1;12;1;FALSE;1
23;1;12;0;FALSE;1
39;1;11;4;FALSE;1
38;1;12;2;FALSE;1
39;0;6;4;FALSE;1
21;0;10;1;FALSE;0
43;1;16;2;FALSE;1
41;1;13;6;FALSE;1
46;1;3;2;FALSE;0
25;0;10;1;FALSE;0
46;0;0;4;FALSE;0
49;1;12;3;FALSE;1
43;0;6;6;FALSE;0
39;0;5;4;FALSE;0
39;0;5;4;FALSE;0
25;0;5;4;FALSE;1
22;0;7;2;FALSE;0
35;0;6;2;FALSE;0
40;1;12;2;TRUE;1
40;0;7;5;FALSE;1
29;0;0;1;FALSE;0
33;0;12;1;FALSE;1
26;0;3;2;FALSE;0
41;1;12;2;FALSE;1
21;0;7;1;FALSE;0
19;0;10;0;FALSE;0
28;0;0;1;FALSE;0
25;1;12;1;TRUE;1
48;1;12;2;TRUE;1
32;1;14;3;TRUE;1
27;1;10;3;FALSE;1
37;0;5;2;FALSE;0
24;0;10;0;TRUE;0
40;1;12;1;TRUE;1
49;1;17;5;FALSE;1
38;1;14;2;FALSE;1
32;1;13;2;FALSE;1
22;1;7;0;FALSE;0
24;1;4;2;FALSE;0
41;1;17;2;FALSE;1
30;0;7;0;TRUE;1
46;0;5;5;FALSE;0
36;1;12;5;FALSE;1
45;1;3;0;FALSE;1
42;1;10;3;FALSE;1
16;1;8;1;FALSE;0
44;1;10;4;TRUE;1
17;1;11;0;TRUE;0
15;1;8;0;TRUE;0
22;1;7;0;FALSE;0
29;0;7;2;FALSE;0
24;1;16;1;FALSE;0
36;0;2;0;FALSE;1
41;1;19;3;FALSE;1
49;0;6;2;FALSE;1
41;0;0;2;TRUE;0
47;0;15;2;FALSE;1
40;1;13;2;TRUE;1
39;1;15;3;FALSE;1
22;0;0;1;FALSE;1
17;1;7;0;FALSE;0
30;1;16;2;FALSE;1
36;1;14;2;FALSE;1
27;1;10;3;FALSE;1
36;1;7;4;FALSE;0
17;1;8;0;FALSE;0
29;1;6;1;FALSE;1
36;0;2;2;FALSE;0
46;1;10;5;FALSE;1
30;0;5;3;FALSE;0
39;1;12;3;FALSE;1
33;1;17;2;FALSE;1
18;0;10;1;FALSE;0
28;1;11;2;TRUE;1
24;0;7;1;FALSE;0
25;1;10;3;FALSE;1
21;0;7;0;FALSE;0
16;0;7;0;FALSE;0
23;0;7;2;FALSE;0
25;0;10;2;FALSE;0
39;1;12;6;FALSE;1
37;1;20;2;FALSE;1
32;1;13;1;TRUE;1
47;0;4;5;FALSE;1
39;1;14;4;FALSE;1
28;1;12;0;FALSE;0
31;0;12;3;TRUE;1
24;1;12;0;FALSE;0
40;1;5;5;FALSE;1
18;1;0;0;FALSE;1
31;1;12;3;TRUE;1
38;1;7;1;FALSE;1
15;1;7;0;FALSE;0
28;1;12;1;TRUE;0
43;1;10;3;FALSE;1
25;1;7;1;TRUE;0
21;1;10;1;FALSE;0
41;1;18;3;TRUE;1
40;1;12;3;FALSE;1
25;0;6;3;FALSE;1
35;1;12;2;FALSE;1
20;1;7;0;FALSE;0
29;1;0;1;FALSE;0
24;0;12;2;FALSE;1
18;0;8;0;FALSE;0
21;0;12;0;FALSE;0
26;0;10;2;FALSE;1
37;1;12;3;FALSE;1
27;0;12;2;FALSE;0
26;0;12;2;FALSE;1
34;1;15;1;FALSE;0
34;1;9;6;TRUE;1
37;1;12;3;FALSE;1
18;1;9;0;FALSE;0
35;1;12;3;TRUE;1
22;1;7;1;FALSE;0
48;1;6;9;FALSE;1
29;1;12;4;FALSE;1
23;1;5;1;FALSE;0
29;1;12;2;FALSE;1
21;1;12;2;FALSE;1
16;1;10;0;FALSE;0
43;0;7;2;FALSE;1
23;1;7;1;FALSE;0
22;1;12;0;FALSE;0
26;1;12;1;FALSE;1
19;1;10;0;FALSE;0
24;0;12;1;FALSE;1
35;1;14;3;FALSE;1
19;1;8;0;FALSE;0
24;1;12;0;FALSE;0
34;1;12;1;FALSE;0
25;1;12;1;TRUE;0
25;0;5;1;FALSE;0
20;0;7;0;FALSE;0
36;1;12;3;FALSE;1
28;1;16;1;FALSE;1
28;0;12;2;TRUE;1
41;1;12;3;TRUE;1
31;1;12;1;TRUE;1
48;1;12;2;FALSE;1
29;1;12;2;TRUE;1
44;0;5;1;TRUE;1
35;1;12;3;FALSE;1
22;0;7;2;FALSE;0
27;0;7;2;FALSE;0
15;1;9;0;FALSE;0
40;1;16;2;FALSE;1
42;1;16;1;FALSE;1
49;1;15;2;FALSE;1
23;0;7;1;FALSE;0
32;1;12;2;TRUE;1
26;1;10;1;TRUE;1
25;1;7;1;FALSE;1
25;1;9;2;FALSE;1
20;0;10;1;FALSE;1
20;0;7;0;FALSE;1
34;1;12;4;FALSE;1
45;1;5;5;FALSE;1
23;1;9;1;FALSE;1
22;1;9;2;FALSE;1
16;1;7;0;FALSE;1
45;1;9;3;FALSE;1
19;1;10;0;FALSE;0
28;0;3;2;FALSE;0
23;0;11;1;FALSE;1
29;0;0;1;FALSE;0
20;0;7;0;FALSE;1
27;0;10;1;FALSE;0
33;0;9;4;FALSE;1
19;0;10;0;FALSE;0
39;1;10;2;TRUE;1
16;1;6;0;TRUE;0
30;1;16;2;TRUE;1
22;0;7;0;FALSE;0
28;1;12;0;FALSE;1
29;0;7;2;FALSE;0
24;0;0;0;FALSE;0
37;1;10;3;FALSE;1
31;0;0;3;FALSE;0
33;1;12;4;FALSE;1
22;0;0;1;FALSE;0
47;0;3;9;FALSE;1
40;0;12;4;FALSE;1
15;0;7;0;FALSE;0
26;0;7;3;FALSE;1
29;0;7;1;FALSE;0
32;0;6;4;FALSE;1
37;1;6;0;FALSE;1
21;1;10;0;FALSE;0
27;0;10;1;FALSE;0
37;0;7;0;FALSE;1
26;0;7;2;FALSE;1
34;0;0;3;FALSE;1
15;0;7;0;FALSE;0
48;0;0;3;FALSE;1
23;0;5;1;FALSE;0
