east;size;sales;investment
FALSE;273;185546;2500000
FALSE;833;1270791;2500000
FALSE;61;126463;215406
FALSE;117;264922;1117324
FALSE;8;21829;105701
FALSE;175;592320;2500000
FALSE;96;370883;23537
FALSE;465;1924184;0
FALSE;849;3636362;2500000
west;121;553121;0
FALSE;5;24741;9051
FALSE;4;20000;0
FALSE;19;96442;0
FALSE;229;1237197;2500000
FALSE;18;98575;109949
FALSE;7;38768;0
west;5;27920;0
FALSE;32;178734;32959
FALSE;4;22998;0
FALSE;38;225865;30996
FALSE;211;1401583;0
FALSE;3;20000;0
FALSE;3;20000;0
FALSE;3;20000;4511
FALSE;3;20000;0
FALSE;3;20000;0
FALSE;3;20000;0
FALSE;276;1856771;
FALSE;183;1250616;0
FALSE;444;3034819;2500000
FALSE;363;2607619;987163
FALSE;4;28802;0
FALSE;14;101442;0
FALSE;18;130864;7787
FALSE;14;104441;25460
FALSE;171;1305213;20463
FALSE;61;472241;99243
FALSE;11;87043;37181
FALSE;8;63502;15885
FALSE;3;23825;0
FALSE;161;1289049;32417
FALSE;63;523243;1493729
FALSE;7;58219;0
FALSE;3;25147;
FALSE;383;3257188;685935
FALSE;34;289195;27294
FALSE;40;343523;284884
FALSE;4;34942;0
FALSE;42;375157;251663
FALSE;3;27248;0
FALSE;4;36456;0
FALSE;6;54812;0
FALSE;345;3170996;1996334
FALSE;5;46109;10174
FALSE;63;582125;93884
FALSE;10;94581;15125
FALSE;122;1158434;171124
FALSE;27;263815;9733
FALSE;163;1615607;7204
FALSE;2;20000;0
FALSE;2;20000;0
FALSE;2;20000;0
FALSE;2;20000;0
FALSE;2;20000;0
FALSE;2;20000;0
FALSE;2;20000;21368
FALSE;2;20000;0
FALSE;2;20000;0
FALSE;2;20086;0
FALSE;58;582729;0
FALSE;2;20112;0
FALSE;586;5904300;2500000
FALSE;551;5581219;195742
FALSE;6;60779;0
FALSE;70;714326;0
FALSE;11;113121;0
FALSE;9;92912;0
FALSE;300;3140068;64699
FALSE;3;31974;0
FALSE;2;21732;0
FALSE;11;120378;32499
FALSE;2;21894;0
FALSE;30;328946;1792833
FALSE;2;21952;0
FALSE;3;32980;0
FALSE;7;77059;0
FALSE;3;33034;5400
FALSE;37;412177;109398
FALSE;199;2229763;702345
FALSE;204;2293133;1684193
FALSE;365;4148990;517461
FALSE;2;22784;0
FALSE;5;57064;0
FALSE;25;285569;91632
FALSE;5;57820;20749
FALSE;2;23170;0
FALSE;145;1680324;530129
FALSE;50;583984;0
FALSE;2;23377;0
FALSE;15;176519;0
FALSE;2;23550;0
FALSE;6;71213;0
FALSE;3;36309;0
FALSE;5;61003;19070
FALSE;2;24581;0
FALSE;3;36953;67259
FALSE;14;173528;0
FALSE;38;472258;4822
FALSE;376;4709895;0
FALSE;69;866630;333502
FALSE;3;37798;0
FALSE;14;176450;0
FALSE;413;5220163;313273
FALSE;2;25493;0
FALSE;8;102169;0
FALSE;7;89628;48911
FALSE;81;1040308;153060
FALSE;606;7865337;1059301
FALSE;10;130152;0
FALSE;169;2200805;2382224
FALSE;2;26154;0
FALSE;4;52482;0
FALSE;5;66140;0
FALSE;52;691836;194922
FALSE;5;66825;0
FALSE;70;941086;9611
FALSE;5;67610;4531
FALSE;2;27120;0
FALSE;45;615975;19369
FALSE;11;150786;19015
FALSE;21;288296;5272
FALSE;5;69149;0
FALSE;505;6992141;2500000
FALSE;46;637793;0
FALSE;208;2888303;100174
FALSE;3;41683;0
FALSE;9;125743;5299
FALSE;6;84068;0
FALSE;4;56068;0
FALSE;5;70172;0
FALSE;13;184852;47742
FALSE;173;2464195;151094
FALSE;312;4444552;15366
FALSE;2;28644;0
FALSE;8;114592;11745
FALSE;296;4255676;1043397
FALSE;5;72147;9292
FALSE;7;101128;0
FALSE;6;87216;0
FALSE;3;43789;0
FALSE;10;146260;58650
FALSE;200;2939781;226404
FALSE;3;44160;0
FALSE;4;59255;0
FALSE;4;60022;1000
FALSE;6;90078;0
FALSE;171;2579238;677431
FALSE;19;286854;118485
FALSE;6;91025;28207
FALSE;242;3681377;0
FALSE;235;3578988;
FALSE;2;30539;0
FALSE;2;30722;0
FALSE;2;30842;0
FALSE;2;30886;1000
FALSE;6;92992;15459
FALSE;9;139778;96046
FALSE;5;77752;0
FALSE;77;1199206;
FALSE;2;31247;0
FALSE;18;282010;31080
FALSE;4;62744;0
FALSE;9;141333;18151
FALSE;200;3140761;146638
FALSE;8;125680;19671
FALSE;4;62873;2832
FALSE;95;1493308;437413
FALSE;6;94337;0
FALSE;8;126320;45853
FALSE;5;78993;6356
FALSE;3;47464;0
FALSE;156;2468242;100658
FALSE;9;142967;21189
FALSE;4;64029;0
FALSE;2;32020;
FALSE;9;144445;5019
FALSE;3;48356;0
FALSE;56;904455;79459
FALSE;136;2197753;1359581
FALSE;177;2860366;278429
FALSE;12;194758;0
FALSE;2;32486;93524
FALSE;4;65145;0
FALSE;2;32650;0
FALSE;14;229241;103587
FALSE;85;1394742;408418
FALSE;2;32857;0
FALSE;3;49325;0
FALSE;67;1103149;1232514
FALSE;6;99398;0
FALSE;13;215757;1543855
FALSE;383;6382554;2500000
FALSE;164;2746996;24708
FALSE;11;184483;4558
FALSE;21;352737;0
FALSE;4;67204;46092
FALSE;12;201932;0
FALSE;7;118633;0
FALSE;2;33909;47107
FALSE;3;51069;0
FALSE;6;102180;48872
FALSE;83;1418921;372047
FALSE;65;1111708;0
FALSE;83;1422510;20091
FALSE;10;171802;0
FALSE;52;893999;101788
FALSE;5;86414;21577
FALSE;5;86434;34614
FALSE;127;2197484;52933
FALSE;36;623009;14609
FALSE;91;1575293;249622
FALSE;5;86779;5034
FALSE;14;243059;21360
FALSE;6;104180;14047
FALSE;25;434275;0
FALSE;48;833988;319721
FALSE;5;86878;21194
FALSE;132;2293979;99486
FALSE;5;86928;0
FALSE;16;278222;10884
FALSE;81;1419953;464373
FALSE;2;35143;0
FALSE;2;35160;20745
FALSE;3;52803;1000
FALSE;7;123224;18460
FALSE;2;35235;0
FALSE;8;141409;16143
FALSE;8;141531;0
FALSE;19;336577;0
FALSE;4;70932;7475
FALSE;26;461421;0
FALSE;20;356374;335233
FALSE;2;35972;4658
FALSE;2;35973;3843
FALSE;107;1925196;841592
FALSE;11;198126;55499
FALSE;121;2180721;9662
FALSE;5;90274;0
FALSE;4;72364;0
FALSE;272;4926803;0
FALSE;53;966741;98513
FALSE;2;36510;0
FALSE;40;735779;0
FALSE;27;502594;25295
FALSE;2;37305;0
FALSE;4;74643;56589
FALSE;80;1495770;0
FALSE;50;936544;
FALSE;12;225130;55459
FALSE;138;2606301;639503
FALSE;191;3607485;1311180
FALSE;34;643170;1945221
FALSE;4;75928;20413
FALSE;161;3063360;254128
FALSE;14;266573;3707
FALSE;19;361958;0
FALSE;66;1259185;25400
FALSE;8;152658;7539
FALSE;190;3637714;59381
FALSE;45;864530;189486
FALSE;4;77114;0
FALSE;6;115708;0
FALSE;197;3803802;1419606
FALSE;3;58102;
FALSE;12;233314;5583
FALSE;8;156058;8600
FALSE;3;58554;5474
FALSE;5;97612;98542
FALSE;60;1172027;0
FALSE;8;156917;0
FALSE;12;235926;3911
FALSE;5;98345;0
FALSE;3;59276;22280
FALSE;3;59313;144102
FALSE;3;59333;5026
FALSE;94;1859503;237799
FALSE;49;970041;15826
FALSE;39;773046;0
FALSE;45;893903;14404
FALSE;4;79687;0
FALSE;244;4874873;51906
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;4961
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;14516
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;1;20000;0
FALSE;5;100164;41140
FALSE;1;20033;0
FALSE;33;661821;65866
FALSE;3;60256;0
FALSE;7;140806;0
FALSE;1;20190;0
FALSE;15;303072;36672
FALSE;24;485536;273393
FALSE;14;283284;0
FALSE;13;263248;0
FALSE;2;40530;23617
FALSE;18;365076;29775
FALSE;2;40594;0
FALSE;31;629489;16780
FALSE;2;40621;0
FALSE;367;7458317;429828
FALSE;27;550978;24667
FALSE;17;347434;1960
FALSE;3;61486;0
FALSE;8;164082;0
FALSE;2;41038;0
FALSE;9;184731;32017
FALSE;179;3682318;3094
FALSE;9;185216;0
FALSE;5;103215;3780
FALSE;4;82782;0
FALSE;4;82858;0
FALSE;57;1182864;2500000
FALSE;54;1128034;17235
FALSE;4;83662;5483
FALSE;40;837767;5517
FALSE;1;20965;8555
FALSE;2;42016;6063
FALSE;6;126131;30932
FALSE;374;7868044;
FALSE;46;967852;259562
FALSE;83;1746935;0
FALSE;29;612858;54142
FALSE;71;1501687;70815
FALSE;3;63489;1447
FALSE;2;42716;0
FALSE;381;8144141;378349
FALSE;18;385111;21403
FALSE;22;471852;0
FALSE;70;1506417;28084
FALSE;15;322980;0
FALSE;2;43241;23172
FALSE;5;108141;0
FALSE;3;64959;0
FALSE;4;86650;114215
FALSE;5;108611;26382
FALSE;29;631191;45659
FALSE;56;1222423;111449
FALSE;4;87473;2030
FALSE;2;43773;31002
FALSE;12;263254;104669
FALSE;42;924855;474253
