"","industry_sector","n","Sector (%)","Male (%)","Female (%)","Median yearly salary","Median yearly salary male","Median yearly salary female"
"1",1,172,1.3,76.2,23.8,2132,2459,1942
"2",2,2537,19.4,69.8,30.2,3074,3370,2270
"3",3,210,1.6,76.2,23.8,3288,3442,2656
"4",4,640,4.9,85.9,14.1,2597,2668,1912
"5",5,1505,11.5,36.8,63.2,1772,2425,1330
"6",6,549,4.2,73.6,26.4,2485,2557,2057
"7",7,431,3.3,48.7,51.3,1208,1714,955
"8",8,480,3.7,62.3,37.7,3712,4560,2869
"9",9,2074,15.8,41.9,58.1,2141,3428,1626
"10",10,4489,34.3,29.7,70.3,2564,3690,2185
