"","Tau","industry_sector","years_of_education","Male_Salary","Female_Salary","Gender_Gap","Relative_Gender_Gap"
"1",0.1,"Administration, Education & Health",10.5,20338.9973684211,13614.4675912409,-6724.52977718017,-33.0622481303866
"2",0.1,"Administration, Education & Health",12,22895.1552631579,14569.3844525548,-8325.77081060315,-36.3647711269322
"3",0.1,"Administration, Education & Health",15,28007.4710526316,16479.2181751825,-11528.2528774491,-41.1613488978895
"4",0.1,"Manufacturing",10.5,18634.24,13432.4736496351,-5201.76635036495,-27.9150979614138
"5",0.1,"Manufacturing",12,21190.3978947368,14387.3905109489,-6803.00738378792,-32.1041984090238
"6",0.1,"Manufacturing",15,26302.7136842105,16297.2242335767,-10005.4894506339,-38.0397611089085
"7",0.1,"Trade",10.5,15855.1747368421,12398.7882116788,-3456.38652516326,-21.799737830273
"8",0.1,"Trade",12,18411.3326315789,13353.7050729927,-5057.62755858623,-27.4701873014419
"9",0.1,"Trade",15,23523.6484210526,15263.5387956205,-8260.10962543218,-35.1140668215384
"10",0.1,"Services",10.5,13842.6042105263,12479.8204014599,-1362.78380906645,-9.84485136135116
"11",0.1,"Services",12,16398.7621052632,13434.7372627737,-2964.02484248942,-18.0746865126979
"12",0.1,"Services",15,21511.0778947368,15344.5709854015,-6166.50690933536,-28.6666569639643
"13",0.1,"Others",10.5,16679.962631579,12462.9001094891,-4217.06252208988,-25.2822060530641
"14",0.1,"Others",12,19236.1205263158,13417.8169708029,-5818.30355551286,-30.246761801857
"15",0.1,"Others",15,24348.4363157895,15327.6506934307,-9020.78562235879,-37.0487266835653
"16",0.2,"Administration, Education & Health",10.5,25624.1786259542,17723.6638109527,-7900.51481500144,-30.8322656126007
"17",0.2,"Administration, Education & Health",12,29227.2924427481,19492.8795573893,-9734.41288535874,-33.3059003136435
"18",0.2,"Administration, Education & Health",15,36433.5200763359,23031.3110502625,-13402.2090260733,-36.7853806000432
"19",0.2,"Manufacturing",10.5,24671.6786259542,17866.2790247562,-6805.399601198,-27.5838531474662
